phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_004.npy,SIRT-TV,30,0.01,0.007571732856743564,0.9585858988218394,0.9983938885399829
phantom_004.npy,FBP,30,0.05,0.061728965090252975,0.3125937535950847,0.6140814970518754
phantom_004.npy,SIRT,30,0.05,0.017056317593853933,0.6930334801235059,0.979901247136676
phantom_004.npy,SIRT-TV,30,0.05,0.01024834418070598,0.8824233978991981,0.9927450968312932
phantom_004.npy,FBP,90,0.0,0.010067884135642866,0.7569023304851775,0.9949765838502274
phantom_004.npy,SIRT,90,0.0,0.00753208133578889,0.9456059596826332,0.9997269339004865
phantom_004.npy,SIRT-TV,90,0.0,0.0063695715552332536,0.9689495463124196,0.9996136398525856
phantom_004.npy,FBP,90,0.01,0.012632381650675803,0.6848089603743719,0.9877570468400475
phantom_004.npy,SIRT,90,0.01,0.008244789228451429,0.922161369255436,0.999521930412026
phantom_004.npy,SIRT-TV,90,0.01,0.006396650017391136,0.9684373376445712,0.9994138739839367
phantom_004.npy,FBP,90,0.05,0.037375738610272345,0.38688445877146316,0.7851690599692951
phantom_004.npy,SIRT,90,0.05,0.01842022749130716,0.6735824657125058,0.9734599419795048
phantom_004.npy,SIRT-TV,90,0.05,0.007482407872870889,0.939540352831068,0.9968225867046817
phantom_004.npy,FBP,180,0.0,0.006809160106813979,0.8586304615121475,0.9996113414082225
phantom_004.npy,SIRT,180,0.0,0.00600057821696868,0.9685897632556428,0.9999814483480784
phantom_004.npy,SIRT-TV,180,0.0,0.006249136188124303,0.9693662888081805,0.9997351839544145
phantom_004.npy,FBP,180,0.01,0.008706973459870261,0.7956561578611356,0.9982304133779099
phantom_004.npy,SIRT,180,0.01,0.006803706465635652,0.9459510709678717,0.9999196124909822
phantom_004.npy,SIRT-TV,180,0.01,0.0062632779260872904,0.9691134284229721,0.9997547544659418
phantom_004.npy,FBP,180,0.05,0.027055946639995557,0.45882858710472296,0.8821748592178256
phantom_004.npy,SIRT,180,0.05,0.017158235277228658,0.6998034501888313,0.9802420479376278
phantom_004.npy,SIRT-TV,180,0.05,0.006814961046626802,0.9556896360759599,0.9982636528788759
phantom_005.npy,FBP,10,0.0,0.0409649012120775,0.39971692641346673,0.8141277379956484
phantom_005.npy,SIRT,10,0.0,0.021564494710311594,0.623745090628276,0.9688109498579437
phantom_005.npy,SIRT-TV,10,0.0,0.018186690275115824,0.7392660623028734,0.9790125673596188
phantom_005.npy,FBP,10,0.01,0.04586236652307664,0.33223357211138504,0.7583945714405563
phantom_005.npy,SIRT,10,0.01,0.02160922891044683,0.6220521336584589,0.9686098826890237
