phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_010.npy,FBP,180,0.0,0.008103095504402517,0.818136241459593,0.9982648816855638
phantom_010.npy,SIRT,180,0.0,0.007240631998479806,0.9590999834322715,0.9990995515535624
phantom_011.npy,FBP,5,0.0,0.048136601011503195,0.4649885822505636,0.7512128091212531
phantom_011.npy,SIRT,5,0.0,0.024483532542365623,0.6589870273160194,0.9612834871456116
phantom_011.npy,FBP,10,0.0,0.04813661017852041,0.46498859561045636,0.7512157077566217
phantom_011.npy,SIRT,10,0.0,0.024483534632257196,0.6589869720979038,0.9612834871456116
phantom_011.npy,FBP,20,0.0,0.03151690254257886,0.512266084087244,0.8704450701765875
phantom_011.npy,SIRT,20,0.0,0.018180700756531852,0.7428868961356787,0.9840508409981009
phantom_011.npy,FBP,30,0.0,0.024697191380895576,0.5544688288989852,0.9105671767698736
phantom_011.npy,SIRT,30,0.0,0.0148228803398506,0.8130491780170918,0.9929706099997936
phantom_011.npy,FBP,60,0.0,0.01586979597574478,0.6674563647991136,0.9627423977370008
phantom_011.npy,SIRT,60,0.0,0.011028321925899977,0.902911961415716,0.9978208959118964
phantom_011.npy,FBP,90,0.0,0.011994365775326477,0.7420814319182327,0.985198632713475
phantom_011.npy,SIRT,90,0.0,0.009085114619219027,0.9345377529744271,0.9991758146170039
phantom_011.npy,FBP,120,0.0,0.009889619033025042,0.7926149832770625,0.9936760425924958
phantom_011.npy,SIRT,120,0.0,0.008031810076104226,0.9504186550672431,0.9994106133101348
phantom_011.npy,FBP,180,0.0,0.007815972273162294,0.8478323562656882,0.9976844389066544
phantom_011.npy,SIRT,180,0.0,0.007101169291226232,0.9645301536139711,0.9995780893537155
phantom_012.npy,FBP,5,0.0,0.05069565965693905,0.5160885463186757,0.6901699464009332
phantom_012.npy,SIRT,5,0.0,0.02853352216004683,0.6480547520640119,0.935650705414629
phantom_012.npy,FBP,10,0.0,0.05069566924959498,0.5160885225732644,0.6901666175319461
phantom_012.npy,SIRT,10,0.0,0.028533523698643332,0.648054736716275,0.935650705414629
phantom_012.npy,FBP,20,0.0,0.03402286343042727,0.5319720205506896,0.820600307787612
phantom_012.npy,SIRT,20,0.0,0.020603148664788514,0.7188261412930694,0.9802794600993625
phantom_012.npy,FBP,30,0.0,0.026420140711425063,0.5628644537523253,0.8763018790880186
phantom_012.npy,SIRT,30,0.0,0.016522997496946395,0.7889914431046277,0.9902819294894274
phantom_012.npy,FBP,60,0.0,0.016576672714414077,0.6540622065763387,0.956537032449839
phantom_012.npy,SIRT,60,0.0,0.011811631623271195,0.8925430543184499,0.9976127681957456
phantom_012.npy,FBP,90,0.0,0.012638290166250996,0.7221602342846514,0.9844060724486681
phantom_012.npy,SIRT,90,0.0,0.00986484164980089,0.926652396756015,0.9989342222581978
phantom_012.npy,FBP,120,0.0,0.01045157101195823,0.7706405003341115,0.9942058069815599
phantom_012.npy,SIRT,120,0.0,0.00874619746865212,0.9450876242253983,0.9992459677666546
phantom_012.npy,FBP,180,0.0,0.008207089193916847,0.8290878255673666,0.9981984017723698
phantom_012.npy,SIRT,180,0.0,0.00775608418022309,0.9607989303106292,0.9994507394175386
phantom_013.npy,FBP,5,0.0,0.041270836504933496,0.5122985053823828,0.8132705295248714
phantom_013.npy,SIRT,5,0.0,0.02209604685792404,0.6791783401409079,0.9643822610937162
phantom_013.npy,FBP,10,0.0,0.041270832972353025,0.5122984777169386,0.8132677334762242
phantom_013.npy,SIRT,10,0.0,0.022096047977414632,0.6791782978180747,0.9643822610937162
phantom_013.npy,FBP,20,0.0,0.026953614127584718,0.5531936041288603,0.8982807479532069
phantom_013.npy,SIRT,20,0.0,0.01642394689359985,0.7741508832352868,0.9841621867856163
phantom_013.npy,FBP,30,0.0,0.020954369506445483,0.594268893928771,0.9283602599407633
phantom_013.npy,SIRT,30,0.0,0.013337826363400272,0.8414457328897849,0.9936775685839068
phantom_013.npy,FBP,60,0.0,0.013279241040335545,0.704964794361618,0.9683108943955355
phantom_013.npy,SIRT,60,0.0,0.009699981735592793,0.923749314603268,0.9986585977165356
phantom_013.npy,FBP,90,0.0,0.010061012946605679,0.7750922262514943,0.986586975191839
phantom_013.npy,SIRT,90,0.0,0.00814073518944822,0.9467370062276794,0.9994664799579905
phantom_013.npy,FBP,120,0.0,0.00827648481896391,0.8193792722184114,0.9947865425527442
phantom_013.npy,SIRT,120,0.0,0.007204751530766306,0.9598035360157144,0.9996863333772094
phantom_013.npy,FBP,180,0.0,0.006427251290685332,0.871616843845123,0.9988760864264313
phantom_013.npy,SIRT,180,0.0,0.006387221503545832,0.9718010724079503,0.9997759354694152
phantom_014.npy,FBP,5,0.0,0.044997644038784354,0.5184565022850784,0.6869836541048473
phantom_014.npy,SIRT,5,0.0,0.02525251948164493,0.6471976603370342,0.9226428864738516
phantom_014.npy,FBP,10,0.0,0.04499765115769483,0.5184564605021488,0.6869836541048473
phantom_014.npy,SIRT,10,0.0,0.025252522546312255,0.6471976334420491,0.9226431436831579
phantom_014.npy,FBP,20,0.0,0.028222900224247713,0.534171257049109,0.810291572795246
phantom_014.npy,SIRT,20,0.0,0.018375074698985548,0.724065328634707,0.9767524781951712
phantom_014.npy,FBP,30,0.0,0.021622525295893383,0.566654413852432,0.8797283891492491
phantom_014.npy,SIRT,30,0.0,0.01435209251603244,0.8061980471962795,0.9874394086598038
phantom_014.npy,FBP,60,0.0,0.013535496447808881,0.6696989253011575,0.9602942332724715
phantom_014.npy,SIRT,60,0.0,0.01032701248961669,0.9099993395286802,0.9956040677119294
phantom_014.npy,FBP,90,0.0,0.010319298090013406,0.742184509465688,0.9861823635063734
phantom_014.npy,SIRT,90,0.0,0.008560444949766292,0.9405782654072259,0.9971125715791079
phantom_014.npy,FBP,120,0.0,0.008447501381076054,0.7940153258948548,0.9937323722970856
phantom_014.npy,SIRT,120,0.0,0.007600641670571177,0.9560800680503465,0.9975677282790161
phantom_014.npy,FBP,180,0.0,0.006532784405749224,0.8570525653812395,0.9965236414985731
phantom_014.npy,SIRT,180,0.0,0.006732262610510106,0.9701354935891479,0.9976553503794447
phantom_015.npy,FBP,5,0.0,0.05045817587855289,0.4756868329633184,0.692034431328115
phantom_015.npy,SIRT,5,0.0,0.024871894859772016,0.6345468203539177,0.9506260111036292
